faculty_name,adress,studies,city,latitude,longitude
Arsenaal,Arsenaalstraat 1 2311 CT,"chinastudies, japanstudies, korean studies",Leiden,52.159,4.479
Gorlaeus laboratoria,Einsteinweg 55 2333 CC,sciences,Leiden,52.168,4.481
Huygens laboratorium /J.H. Oortgebouw / Kamerling Onnes Meethal,Niels Borhweg 2 2333 CA,"astronomy,
physics",Leiden,52.168,4.481
Kamerling Onnes gebouw,Steenschuur 25 2311 ES,law school,Leiden,52.159,4.479
LUMC / Leids universitair medisch centrum,Albinusdreef 2 2333 ZA,"Medical, biofarmaceutical science",Leiden,52.168,4.481
Clusius laboratorium,Wassenaarseweg 64 2333 AL,biology,Leiden,52.168,4.481
Matthias de vrieshof,Matthias de Vrieshof 1 2311 BZ,"TCMO, Hebrew and Aramaic Languages and Cultures, Egyptian Language and Culture / Egyptology and Languages and Coptology, Languages and Cultures of Mesopotamia and Anatolia, NINO, Lexicologie (INL), Religious studies, Philosophy ",Leiden,52.159,4.479
Van Steenis gebouw,Einsteinweg 2 2333 CC,Archaeology,Leiden,52.168,4.481
Pieter de la court gebouw,Wasenaarseweg 52 2333 AK,"psychology, political science, cultural anthropology and developmental sociology, education and child studies, public administration",Leiden,52.168,4.481
Snellius gebouw,Niels Bohrweg 1 2333 CA,mathematics,Leiden,52.168,4.481
Lipsius gebouw,Cleveringaplaats 1 2311 BD,humanities,Leiden,52.159,4.479
Leiden University College Den Haag,Anna van Buerenplein 301 2595 DG,LUC the Hague / Public Administration,'s-Gravenhage,52.082,4.324
