postcode,distance_to_leiden,statusscore14,rangorde14
1000,35.7226457434933,NA,NA
1001,35.7226457434933,NA,NA
1002,34.4980959486632,NA,NA
1003,34.4980959486632,NA,NA
1005,35.7226457434933,NA,NA
1006,35.7226457434933,NA,NA
1007,35.7226457434933,NA,NA
1008,35.7226457434933,NA,NA
1009,35.7226457434933,NA,NA
1011,35.7226457434933,"1,03218024816595",789
1012,35.6235749053222,"1,46038061580443",367
1013,35.4806528984334,"-,0567247186634567",2490
1014,34.7064858528071,"1,25196586206124",546
1015,35.165962305717,"1,24180239035268",560
1016,34.6832589856133,"1,80061501003213",183
1017,34.3560995682442,"2,25483392125566",59
1018,35.6251847639152,",626369726738887",1387
1019,36.413513107624,"1,66313299876995",246
1020,36.8610075211073,NA,NA
1021,36.5157428946901,"-2,33172032316015",3458
1022,38.1608266649337,"-,214853000586171",2651
1023,38.4275664552818,"-,375549517919744",2794
1024,39.173411475427,"-1,14385339870241",3207
1025,39.4816489025867,"-1,06447462636523",3176
1026,39.6345286213312,"2,48636021877154",30
1027,41.0465023623098,"1,75721086805542",196
1028,41.116082579486,"2,06967383265661",101
1030,36.156713341109,NA,NA
1031,37.0248566918374,"-1,63083334708776",3338
1032,37.2638752457538,"-2,01459755154027",3408
1033,38.0705943202769,"-1,59885937081901",3331
1034,38.2213445112948,"-1,53570098799198",3317
1035,38.0729742585882,"-,0316301667154324",2460
1036,37.7164158508611,"1,95235455640926",132
1037,37.9618703261984,NA,NA
1040,34.8262604079608,NA,NA
1041,35.6741499358725,NA,NA
1042,34.2934128090965,NA,NA
1043,32.7635716122514,NA,NA
1044,33.3400102488756,NA,NA
1045,32.8170508571857,NA,NA
1046,31.6854194680002,NA,NA
1047,31.1468010777209,NA,NA
1051,34.947728399756,"-,0297348529985457",2455
1052,34.9944035148352,",387141311465236",1833
1053,33.6978039324096,",0249360660959108",2378
1054,33.5262363469434,"1,51287873437236",332
1055,32.7247307359908,"-,664943458619545",2984
1056,32.3094313258389,"-,0362380932425489",2464
1057,32.2120345280319,"-,432723507774534",2841
1058,32.3222821707738,"1,419782829808",397
1059,31.0684480442638,",797572924832762",1131
1060,33.412197703879,"1,46894214989726",362
1061,31.5130210007724,"-3,1298756840116",3514
1062,31.500350416513,"-,286786343563169",2721
1063,32.6780539214795,"-1,53786415932121",3320
1064,32.0386961046029,"-1,92551305836581",3392
